gRNA-sequence,Counts-K,Fraction-K,Counts-SK,Fraction-SK,Counts-TK,Fraction-TK,GrowthRate-SK,GrowthRateError,BindingEnergy-SK,GrowthRate-TK
f_123-r_150,86338.0,0.02819343613911435,337320.0,0.09056450586607342,105.0,7.234095324707535e-05,0.8955163433239353,0.03623432901514929,2.2587246152526705,2.0038803439439596
r_151-r_151,83778.0,0.027357475188940238,725201.0,0.19470375376076815,288.0,0.00019842090033483526,1.075955635703102,0.036234329038119836,5.298317366548035,1.670038140320476
f_131-f_131,68392.0,0.02233321925949534,476087.0,0.12782101240442695,138.0,9.50766814104419e-05,1.026523838323742,0.03623432902235192,5.298317366548035,1.841213781831684
f_136-f_136,66730.0,0.021790497736374488,557451.0,0.14966581987296484,506.0,0.00034861449850495365,1.067890257896599,0.03623432902710328,5.298317366548035,1.41587586307532
f_135-f_137,58596.0,0.019134362436094704,450.0,0.00012081711028024737,48875.0,0.03367299133286484,-0.5180138595068261,0.03633123883382608,0.0010005003335835344,-0.09429345715680604
f_123-r_153,57592.0,0.018806509000948293,52655.0,0.01413694431512539,3682.0,0.0025367560938641094,0.5660858909580736,0.036234328996465594,0.8349086699009459,0.730923723859883
f_132-f_131,56777.0,0.018540372995326456,373.0,0.0001001439602989606,24921.0,0.017169608532098715,-0.5534282431864354,0.03665666619980712,0.0010005003335835344,0.1119749458213557
f_135-f_135,46265.0,0.015107708343673996,380272.0,0.1020963648010894,118.0,8.129745222052278e-05,1.0642114740009503,0.03623432901532092,5.298317366548035,1.7659374661126526
f_137-f_152,46073.0,0.015045011272410938,286.0,7.678598564477944e-05,38649.0,0.026627671448059196,-0.5662849646910441,0.0374231552145125,0.0010005003335835344,-0.09612289880571757
r_147-r_147,45955.0,0.01500647869736385,4961.0,0.0013319415202229048,10481.0,0.007221005056977113,0.08149936724480421,0.03612028174610827,0.0850126854265998,0.32231011289886974
f_137-f_135,41954.0,0.013699963165470633,661.0,0.0001774669108783189,33397.0,0.023009245862786437,-0.35502097730172066,0.036100613564516576,0.0010005003335835344,-0.07928732568760463
f_139-f_139,36972.0,0.012073104785092726,313657.0,0.08421140524260344,130.0,8.956498973447425e-05,1.0713876428333295,0.036234329010795735,5.298317366548035,1.6627824924834442
r_151-r_137,36871.0,0.012040123513230389,347.0,9.31634161494352e-05,30292.0,0.020870020531051494,-0.47189712481766116,0.03682567835912808,0.0010005003335835344,-0.08942886654187848
r_137-r_137,33659.0,0.010991253758558804,197519.0,0.05303038845654262,266.0,0.00018326374822592425,0.9877850828175492,0.03623432900367478,4.40509735428307,1.402596131584895
f_138-f_140,33437.0,0.010918760269910892,222.0,5.960310773825537e-05,27400.0,0.018877543990189188,-0.5510313856527523,0.03846535455047355,0.0010005003335835344,-0.08860048546917328
f_134-f_135,31856.0,0.010402489073729143,365.0,9.799610056064509e-05,22518.0,0.015514034144929932,-0.42726518752240045,0.03670105739654073,0.0010005003335835344,-0.04111824493868496
f_135-f_133,30170.0,0.00985193041670041,257.0,6.899999409338571e-05,24060.0,0.016576412715472697,-0.4945046333655007,0.03781135604546389,0.0010005003335835344,-0.07986895925883994
f_122-f_122,29938.0,0.009776171455590881,154503.0,0.04148134664362013,47.0,3.238118859630992e-05,0.9586456117821839,0.03623432900088859,3.18557673937494,1.9218483265117112
f_140-f_139,28524.0,0.009314433649518146,179436.0,0.048175420000547704,190.0,0.0001309026773042316,1.0035532861319676,0.036234329002290656,5.298317366548035,1.4575150135799646
f_134-r_137,25777.0,0.008417408364311782,396.0,0.00010631905704661768,19740.0,0.013600099210450167,-0.36074784501789625,0.03653244421966078,0.0010005003335835344,-0.06684481977669667
r_153-r_137,25496.0,0.008325648588140326,320.0,8.591438953262036e-05,19096.0,0.013156408030534772,-0.4065955419837225,0.03705566094072632,0.0010005003335835344,-0.05971011581484566
f_133-r_136,25088.0,0.008192417311706326,338.0,9.074707394383024e-05,19824.0,0.013657971973047828,-0.39052376789277815,0.03689821236248205,0.0010005003335835344,-0.07691350927403422
f_132-f_136,23784.0,0.007766599702711387,269.0,7.222178370085898e-05,15801.0,0.010886280021495597,-0.43020779923134883,0.0376241702504185,0.0010005003335835344,-0.02118951750386377
f_134-f_133,22433.0,0.007325434373146845,450.0,0.00012081711028024737,8505.0,0.005859617213013104,-0.30023604391247666,0.03633123883167601,0.0010005003335835344,0.15902913513075836
r_149-r_137,22182.0,0.007243471014360242,190.0,5.101166878499333e-05,21123.0,0.014552932908933074,-0.4932537436055767,0.039225898255885024,0.0010005003335835344,-0.13685723733269958
f_130-r_136,22036.0,0.0071957951164206245,259.0,6.953695902796459e-05,10773.0,0.007422181803149932,-0.42148603640390636,0.037777801750812655,0.0010005003335835344,0.07734542191294395
f_133-f_138,21149.0,0.00690614770907514,224.0,6.0140072672834246e-05,16229.0,0.011181155526159867,-0.44509739283708144,0.03842646366561681,0.0010005003335835344,-0.06750110860109992
f_123-f_140,21128.0,0.006899290216905743,182.0,4.886380904667783e-05,3963.0,0.002730354263982473,-0.4919688993215359,0.0394774140883364,0.0010005003335835344,0.3851201861654809
f_122-r_153,20183.0,0.006590703069282876,189.0,5.074318631770389e-05,13124.0,0.009041930194424924,-0.4730296609143029,0.03925690535000835,0.0010005003335835344,-0.014295422392795467
f_139-f_138,19656.0,0.006418612670555626,223.0,5.987159020554481e-05,10591.0,0.007296790817521668,-0.4295067331814871,0.038444551713135315,0.0010005003335835344,0.046098848672711176
r_152-f_134,19060.0,0.006223990511843216,166.0,4.4568089570046805e-05,15697.0,0.010814628029708019,-0.4894765111770042,0.040059444290003986,0.0010005003335835344,-0.09020617082078039
f_123-f_139,18889.0,0.006168150932749554,412.0,0.0001106147765232487,6198.0,0.004270183125955934,-0.28124457409917475,0.036457920229309757,0.0010005003335835344,0.2054458557900062
f_135-f_152,18153.0,0.005927812159574496,157.0,4.215174736444186e-05,14546.0,0.010021633389828173,-0.4910610604915292,0.040460417378925556,0.0010005003335835344,-0.08140389133162944
f_132-f_133,17645.0,0.00576192615852432,325.0,8.725680186906754e-05,9097.0,0.00626748239703471,-0.31959329674633524,0.03701183831808566,0.0010005003335835344,0.060276857390028825
r_149-r_147,17469.0,0.005704453843199849,114.0,3.0607001270996e-05,14756.0,0.010166315296322323,-0.5549426182517704,0.04305352720511986,0.0010005003335835344,-0.0983487582404959
f_138-f_135,17007.0,0.005553589015473114,170.0,4.564201943920456e-05,14330.0,0.009872817714577046,-0.4582257603231274,0.039899785147882595,0.0010005003335835344,-0.09754823041870625
f_123-r_147,16982.0,0.00554542533431907,861.0,0.00023116340433620663,96.0,6.614030011161175e-05,-0.08992227359069203,0.03609306704607702,0.0010005003335835344,1.5102319710871175
f_142-f_137,16863.0,0.005506566212025821,174.0,4.6715949308362316e-05,15222.0,0.01048737133644744,-0.45102194182194705,0.039751064248789325,0.0010005003335835344,-0.11968112087042414
f_139-f_123,16288.0,0.005318801545482806,125.0,3.3560308411179825e-05,14744.0,0.010158047758808372,-0.5181717380544738,0.04223339333173573,0.0010005003335835344,-0.12057675487735754
r_136-f_123,15741.0,0.005140180201832322,144.0,3.8661475289679156e-05,13571.0,0.009349895966819616,-0.478328598598196,0.04107265981083735,0.0010005003335835344,-0.10491717061857313
f_136-f_135,15736.0,0.005138547465601513,65521.0,0.017591239739271305,2165.0,0.0014916015598087442,0.9099551420000482,0.03623432899473738,2.4074473106012833,0.4846955081978546
r_136-f_143,15622.0,0.005101321079539072,174.0,4.6715949308362316e-05,13109.0,0.009031595772532484,-0.43368340698353397,0.03975106424872189,0.0010005003335835344,-0.09622732572283374
f_137-r_136,15621.0,0.0051009945322929105,180.0,4.832684411209895e-05,13214.0,0.00910393672577956,-0.4259793242077081,0.039536730148652735,0.0010005003335835344,-0.09881102036815038
r_136-f_122,15562.0,0.005081728244769366,220.0,5.906614280367649e-05,11884.0,0.00818761798464994,-0.3796048046877868,0.038512677569440656,0.0010005003335835344,-0.0659441104096432
f_137-f_133,15526.0,0.005069972543907543,126.0,3.3828790878469264e-05,13514.0,0.009310625163628346,-0.5054968398020379,0.04216616901842975,0.0010005003335835344,-0.10798339187058556
r_149-f_142,15219.0,0.004969722539335881,94.0,2.5237351925207227e-05,12134.0,0.008359858349523928,-0.5674223738130125,0.044866976492844005,0.0010005003335835344,-0.0797931772332171
f_139-r_137,15100.0,0.004930863417042631,211.0,5.664980059807155e-05,11047.0,0.007610957243051823,-0.3822432047024677,0.038685516132959286,0.0010005003335835344,-0.0521622269998113
r_136-r_137,14449.0,0.004718281159791323,948.0,0.0002545213789903878,5565.0,0.003834070522094994,-0.031450530086459184,0.03609394017518138,0.0010005003335835344,0.15396876481043387
f_122-r_137,14428.0,0.004711423667621926,205.0,5.5038905794334914e-05,7877.0,0.005426949416449644,-0.3784607873210672,0.038814651256866256,0.0010005003335835344,0.04187259618400488
f_130-r_150,14239.0,0.004649706238097353,196.0,5.2622563588729964e-05,7682.0,0.005292601931847932,-0.3856530883773066,0.039059143158892494,0.0010005003335835344,0.04568976166857103
r_149-f_132,14161.0,0.004624235552896735,133.0,3.5708168149495336e-05,10583.0,0.0072912791258457005,-0.4723602976622257,0.041694269293648514,0.0010005003335835344,-0.05900327375621808
f_139-r_136,13842.0,0.0045200669813711325,224.0,6.0140072672834246e-05,15569.0,0.010726440962892535,-0.3489515941370648,0.03842646366520606,0.0010005003335835344,-0.1903481469270661
f_137-r_147,13574.0,0.00443255231939978,141.0,3.785602788781084e-05,11209.0,0.0077225689994901685,-0.44950898961422053,0.041225289115364924,0.0010005003335835344,-0.09106820303612682
