gRNA-sequence,Counts-K,Fraction-K,Counts-SK,Fraction-SK,GrowthRate-SK,BindingEnergy-SK
0-0,18009.0,0.15465139245506618,7175.0,0.15465139245506618,0.0,0.0010005003335835344
59-0,6136.0,0.0526925950416062,14927.0,0.0526925950416062,0.9689807677632672,3.4731478721289313
23-0,6094.0,0.05233192212900068,16309.0,0.05233192212900068,1.0200811001876078,5.298317366548035
48-0,4619.0,0.03966543293630688,12284.0,0.03966543293630688,1.016710760808192,5.298317366548035
19-0,4404.0,0.037819131121778635,11329.0,0.037819131121778635,0.9988942296327091,5.298317366548035
37-78,4213.0,0.036178928114453536,10755.0,0.036178928114453536,0.9947935076220765,5.257848897949399
40-0,2401.0,0.020618468170615464,5900.0,0.020618468170615464,0.974373076469408,3.664111779732302
31-0,2242.0,0.019253063572894573,5813.0,0.019253063572894573,1.0031122734921725,5.298317366548035
27-72,2200.0,0.018892390660289055,6134.0,0.018892390660289055,1.0420271088405948,5.298317366548035
32-0,2121.0,0.018213982086578675,5426.0,0.018213982086578675,0.9959282412645185,5.298317366548035
31-75,2017.0,0.01732088725536501,5504.0,0.01732088725536501,1.030498604428949,5.298317366548035
27-0,1770.0,0.015199787031232558,4635.0,0.015199787031232558,1.0084294661076019,5.298317366548035
17-0,1672.0,0.014358216901819681,4107.0,0.014358216901819681,0.9741616817124052,3.655896683935074
39-0,1628.0,0.0139803690886139,4213.0,0.0139803690886139,1.0020916207514359,5.298317366548035
29-0,1596.0,0.013705570679009696,4304.0,0.013705570679009696,1.0241684814889516,5.298317366548035
19-61,1574.0,0.013516646772406805,4175.0,0.013516646772406805,1.015304814842627,5.298317366548035
37-0,1472.0,0.012640726841793404,3810.0,0.012640726841793404,1.002190407589717,5.298317366548035
21-0,1448.0,0.01243462803459025,3864.0,0.01243462803459025,1.0185318171995157,5.298317366548035
33-0,1232.0,0.01057973876976187,3024.0,0.01057973876976187,0.9737703296721669,3.6408640536980434
41-0,1204.0,0.010339290161358192,3232.0,0.010339290161358192,1.0217088820104907,5.298317366548035
35-0,1150.0,0.009875567845151097,3002.0,0.009875567845151097,1.006747865368231,5.298317366548035
25-0,1114.0,0.009566419634346367,3104.0,0.009566419634346367,1.0416761826541951,5.298317366548035
9-0,963.0,0.008269714639026527,2332.0,0.008269714639026527,0.9665329915011782,3.397195146336561
15-0,904.0,0.007763055071318775,2465.0,0.007763055071318775,1.0300990108598884,5.298317366548035
6-0,881.0,0.007565543714415753,2120.0,0.007565543714415753,0.9631512215735436,3.3009328107888964
45-0,801.0,0.006878547690405242,1989.0,0.006878547690405242,0.9799747130073987,3.910759454414991
13-0,796.0,0.006835610438904585,1913.0,0.006835610438904585,0.9624630426579558,3.2824293021995823
69-0,704.0,0.0060455650112924975,1980.0,0.0060455650112924975,1.0466779907264818,5.298317366548035
36-0,684.0,0.00587381600528987,1826.0,0.00587381600528987,1.0187490002305049,5.298317366548035
65-0,659.0,0.005659129747786585,1642.0,0.005659129747786585,0.9818065730712467,4.006694907893369
30-0,649.0,0.005573255244785271,1755.0,0.005573255244785271,1.0256397302857685,5.298317366548035
25-85,612.0,0.00525551958368041,1601.0,0.00525551958368041,1.0078911041706804,5.298317366548035
33-64,599.0,0.005143882729778702,1694.0,0.005143882729778702,1.0496302992530406,5.298317366548035
51-0,586.0,0.005032245875876994,1736.0,0.005032245875876994,1.0744981083677814,5.298317366548035
46-0,583.0,0.0050064835249765995,1481.0,0.0050064835249765995,0.9921638009760367,4.849001380554279
42-0,562.0,0.00482614706867384,1357.0,0.00482614706867384,0.9649807489760373,3.351857339447292
35-76,527.0,0.004525586308169242,1330.0,0.004525586308169242,0.9886548014727217,4.4789606618044235
11-0,514.0,0.004413949454267534,1389.0,0.004413949454267534,1.0252780406385966,5.298317366548035
33-74,502.0,0.004310900050665957,1288.0,0.004310900050665957,0.9974981159831326,5.298317366548035
13-61,498.0,0.0042765502494654314,1243.0,0.0042765502494654314,0.9827364530321505,4.059158112246637
63-0,484.0,0.004156325945263592,1198.0,0.004156325945263592,0.9782595868312799,3.8285823924687414
68-0,472.0,0.004053276541662015,1274.0,0.004053276541662015,1.0246470233412404,5.298317366548035
7-0,462.0,0.0039674020386607015,1127.0,0.0039674020386607015,0.9704541256202324,3.5218111597749773
25-93,454.0,0.0038987024362596504,1059.0,0.0038987024362596504,0.9464787573349198,2.9276766447269273
4-0,443.0,0.003804240482958205,976.0,0.003804240482958205,0.9159031602236292,2.475786289684643
54-0,436.0,0.0037441283308572854,1122.0,0.0037441283308572854,0.999094130271648,5.298317366548035
34-0,433.0,0.003718365979956891,1191.0,0.003718365979956891,1.0347547412529738,5.298317366548035
66-0,423.0,0.0036324914769555773,1022.0,0.0036324914769555773,0.9653100047275411,3.36130395428014
6-70,410.0,0.0035208546230538693,1076.0,0.0035208546230538693,1.0096033868767538,5.298317366548035
27-54,408.0,0.0035036797224536065,1110.0,0.0035036797224536065,1.028883488672765,5.298317366548035
55-0,384.0,0.003297580915250453,1016.0,0.003297580915250453,1.0139615461126072,5.298317366548035
76-0,373.0,0.003203118961949008,980.0,0.003203118961949008,1.010206203581769,5.298317366548035
62-0,368.0,0.003160181710448351,943.0,0.003160181710448351,0.9968219956542417,5.298317366548035
5-0,368.0,0.003160181710448351,860.0,0.003160181710448351,0.9474782846327907,2.9465285688621474
61-0,355.0,0.003048544856546643,868.0,0.003048544856546643,0.9716989411077331,3.564856058345057
23-102,354.0,0.0030399574062465115,874.0,0.0030399574062465115,0.9768990318332345,3.7678807503514795
13-77,331.0,0.0028424460493434896,845.0,0.0028424460493434896,0.9948055429820217,5.260163180013233
81-0,330.0,0.002833858599043358,915.0,0.002833858599043358,1.0390502794878758,5.298317366548035
53-0,323.0,0.0027737464469424385,828.0,0.0027737464469424385,0.9970241644095152,5.298317366548035
80-0,322.0,0.002765158996642307,788.0,0.002765158996642307,0.9721662855835597,3.5815072442785314
74-0,320.0,0.0027479840960420443,812.0,0.0027479840960420443,0.9915713139578146,4.776114385998802
47-0,313.0,0.0026878719439411246,786.0,0.0026878719439411246,0.9859876486512178,4.267816099112407
57-0,309.0,0.002653522142740599,723.0,0.002653522142740599,0.948130867765967,2.9590314203899055
70-0,306.0,0.002627759791840205,776.0,0.002627759791840205,0.9912435875873739,4.737968999856695
31-76,302.0,0.0025934099906396793,660.0,0.0025934099906396793,0.9115757937425488,2.4256095203804016
17-100,301.0,0.002584822540339548,808.0,0.002584822540339548,1.0217088820104907,5.298317366548035
60-0,287.0,0.0024645982361377085,816.0,0.0024645982361377085,1.0524933571931803,5.298317366548035
43-0,281.0,0.00241307353433692,774.0,0.00241307353433692,1.0355079403432879,5.298317366548035
71-0,277.0,0.0023787237331363946,720.0,0.0023787237331363946,1.0044539939012584,5.298317366548035
72-0,276.0,0.002370136282836263,721.0,0.002370136282836263,1.0071342653717867,5.298317366548035
49-0,259.0,0.0022241496277340296,717.0,0.0022241496277340296,1.0382021412761702,5.298317366548035
38-0,258.0,0.002215562177433898,714.0,0.002215562177433898,1.038028403117495,5.298317366548035
73-0,254.0,0.0021812123762333727,704.0,0.0021812123762333727,1.038842843460532,5.298317366548035
22-0,251.0,0.0021554500253329785,688.0,0.0021554500253329785,1.032893682800284,5.298317366548035
82-0,236.0,0.0020266382708310077,595.0,0.0020266382708310077,0.9881170553251151,4.432651127505592
78-0,235.0,0.0020180508205308763,580.0,0.0020180508205308763,0.9767164720348877,3.760009122707525
44-0,232.0,0.001992288469630482,605.0,0.001992288469630482,1.0061985337034214,5.298317366548035
64-0,231.0,0.0019837010193303507,688.0,0.0019837010193303507,1.077364465207905,5.298317366548035
29-65,231.0,0.0019837010193303507,593.0,0.0019837010193303507,0.997782448375915,5.298317366548035
26-0,226.0,0.0019407637678296938,570.0,0.0019407637678296938,0.9883161576149414,4.4495483843577475
52-0,226.0,0.0019407637678296938,659.0,0.0019407637678296938,1.0660198050739544,5.298317366548035
58-0,222.0,0.0019064139666291682,543.0,0.0019064139666291682,0.971890680361136,3.5716540978833238
15-65,220.0,0.0018892390660289055,565.0,0.0018892390660289055,0.9980081871540665,5.298317366548035
50-0,216.0,0.00185488926482838,567.0,0.00185488926482838,1.00972780672706,5.298317366548035
17-77,205.0,0.0017604273115269346,525.0,0.0017604273115269346,0.9965033016589792,5.298317366548035
27-60,201.0,0.001726077510326409,467.0,0.001726077510326409,0.9443585627477811,2.888827080984116
84-0,196.0,0.0016831402588257521,519.0,0.0016831402588257521,1.0143916844725978,5.298317366548035
87-0,187.0,0.0016058532061245696,502.0,0.0016058532061245696,1.0217301488055048,5.298317366548035
16-0,184.0,0.0015800908552241755,503.0,0.0015800908552241755,1.0314575719320047,5.298317366548035
83-0,180.0,0.00154574105402365,455.0,0.00154574105402365,0.9895153987911409,4.5578476497951605
75-0,168.0,0.0014426916504220733,422.0,0.0014426916504220733,0.9861417483080842,4.278874433731185
79-0,166.0,0.0014255167498218105,427.0,0.0014255167498218105,0.9988640418771415,5.298317366548035
67-0,162.0,0.001391166948621285,406.0,0.001391166948621285,0.9849182440131902,4.194269478432828
19-71,162.0,0.001391166948621285,390.0,0.001391166948621285,0.9633850826502414,3.3072995437498536
19-69,161.0,0.0013825794983211535,504.0,0.0013825794983211535,1.1040360297457912,5.298317366548035
20-0,152.0,0.001305292445619971,333.0,0.001305292445619971,0.9128874741552431,2.4405545955350134
21-56,152.0,0.001305292445619971,389.0,0.001305292445619971,0.9961340504816336,5.298317366548035
21-62,144.0,0.00123659284321892,416.0,0.00123659284321892,1.0610301715616621,5.298317366548035
98-0,140.0,0.0012022430420183944,344.0,0.0012022430420183944,0.9743367657305056,3.662695884499145
77-0,138.0,0.0011850681414181316,332.0,0.0011850681414181316,0.96302672516398,3.2975599290526776
13-72,138.0,0.0011850681414181316,367.0,0.0011850681414181316,1.0167047580682973,5.298317366548035
19-70,135.0,0.0011593057905177374,323.0,0.0011593057905177374,0.9600791138610993,3.22085562991699
28-0,125.0,0.0010734312875164236,282.0,0.0010734312875164236,0.9285963335189944,2.6394060596804416
